epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
80,3745.93,0.91189,0.31836,0.00359,0.98496,0.9965,0.99472,0.75542,0.89627,0.24091,0.00398,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895
81,3791.7,0.89842,0.3133,0.00354,0.97586,0.98927,0.99437,0.76214,0.89136,0.26092,0.00399,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
82,3837.43,0.88347,0.30054,0.00353,0.99185,0.98252,0.99472,0.7617,0.88161,0.25884,0.00401,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905
83,3882.93,0.90254,0.31413,0.00358,0.98258,0.98633,0.99338,0.75414,0.88931,0.24746,0.00396,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
84,3929.19,0.88428,0.31522,0.00343,0.99228,0.98951,0.99428,0.75907,0.898,0.26439,0.00406,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915
85,3975.54,0.88075,0.30461,0.00345,0.98951,0.98903,0.99432,0.76579,0.90367,0.26106,0.00407,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
86,4021.77,0.8989,0.30894,0.00355,0.99208,0.99301,0.99479,0.75913,0.90423,0.24071,0.00412,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
87,4067.79,0.88702,0.30402,0.00351,0.98263,0.98885,0.99447,0.75368,0.9164,0.24745,0.00413,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
88,4113.95,0.88834,0.29688,0.00348,0.98339,0.99301,0.99461,0.75797,0.89277,0.24842,0.004,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935
89,4160.23,0.88747,0.29815,0.0035,0.97866,0.9965,0.99458,0.75478,0.90086,0.2461,0.00406,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
90,4206.23,0.86018,0.29348,0.00344,0.99204,0.97902,0.99375,0.74679,0.91728,0.26696,0.00409,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945
