epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
90,22892.3,0.90297,0.50897,0.00975,0.97432,0.98196,0.98878,0.79192,0.80314,0.26065,0.01277,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945
91,23140.2,0.89908,0.51327,0.00971,0.97177,0.98238,0.98879,0.7917,0.8029,0.26135,0.01277,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
92,23388.1,0.89875,0.51341,0.00971,0.9719,0.98163,0.98885,0.79216,0.80255,0.26171,0.01276,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955
93,23638.8,0.89966,0.51322,0.00973,0.97227,0.98223,0.9888,0.79147,0.80239,0.2616,0.01277,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
94,23890,0.8973,0.50714,0.0097,0.97067,0.98338,0.98889,0.79118,0.80207,0.26179,0.01276,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965
95,24137.6,0.89585,0.51914,0.00966,0.97401,0.9795,0.98884,0.79165,0.80251,0.26118,0.01277,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
96,24388.6,0.89488,0.5159,0.00969,0.97028,0.98286,0.98895,0.79139,0.80173,0.26179,0.01275,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
97,24636.9,0.89167,0.51036,0.00961,0.97361,0.98065,0.98901,0.79247,0.80117,0.26171,0.01275,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
98,24884.6,0.89588,0.51126,0.00968,0.97554,0.97925,0.98891,0.79199,0.80104,0.26114,0.01275,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985
99,25134.7,0.89051,0.50745,0.00961,0.97396,0.98095,0.98894,0.79259,0.80071,0.2607,0.01274,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
100,25384.5,0.89191,0.50495,0.00965,0.97311,0.98248,0.98915,0.79326,0.80066,0.25977,0.01274,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995
101,25635.5,0.88685,0.50742,0.00957,0.97413,0.98162,0.98905,0.79276,0.8004,0.25989,0.01274,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
